Category,Name,Nodes,Tokens,Lost tokens,Length,Tide,Essence,Ds(L∻T),Ds(L∻E),Ds(T∻E),D(L∻T),D(L∻E),D(T/E),R(T/L),R(E/L),R(E/T),Tokens after,Tokens saved,Tb∻Ta
class,TypeUtils,5422,6712,0,68630,44442,27580,43%,85%,47%,0.4278335927550587,0.8533416484772892,0.46824581377912305,0.6475593763660207,0.4018650735829812,0.620584132127267,6433,279,4.2%
class,InheritanceUtils,97,126,0,1412,1071,373,27%,116%,97%,0.27466774063632704,1.1641456582633054,0.9667590027700831,0.7584985835694051,0.26416430594900847,0.34827264239028943,116,10,8.3%
class,MemberUtils,1017,1248,0,12013,8540,5021,34%,82%,52%,0.3379555296063835,0.8209463426088999,0.5189882752009439,0.7108965287605095,0.4179638724714892,0.5879391100702576,1202,46,3.8%
class,FieldUtils,1779,2095,0,35752,25127,9894,35%,113%,87%,0.34905303963599926,1.1329798887087588,0.869935181748094,0.7028138285970016,0.27673976281047213,0.39375970072034067,2061,34,1.6%
class,ConstructorUtils,614,745,0,13006,10055,3293,26%,119%,101%,0.25592992498157063,1.1918522608749003,1.0131854959544502,0.773104720898047,0.2531908349992311,0.3274987568373943,721,24,3.3%
interface,Typed,11,13,0,227,172,42,28%,138%,121%,0.2756892230576441,1.3754646840148699,1.2149532710280373,0.7577092511013216,0.18502202643171806,0.2441860465116279,13,0,0%
class,TypeLiteral,187,226,0,3292,2718,913,19%,113%,99%,0.19101497504159734,1.1315101070154578,0.994216469292206,0.8256379100850547,0.2773390036452005,0.3359087564385578,223,3,1.3%
class,CharRange,708,825,0,10191,6653,2931,42%,111%,78%,0.4200902398480171,1.106538637402835,0.7767111853088481,0.6528309292513002,0.2876067118045334,0.4405531339245453,770,55,6.9%
class,RandomUtils,321,408,0,6428,4694,2140,31%,100%,75%,0.31181442186657077,1.0009337068160598,0.7474392742171495,0.7302426882389546,0.3329184816428127,0.455901150404772,380,28,7.1%
class,BooleanUtils,1844,2299,0,41682,29308,9007,35%,129%,106%,0.3486124806310748,1.2892343506480697,1.0596894166775415,0.7031332469651168,0.21608847943956624,0.3073222328374505,2146,153,6.9%
class,EventListenerSupport,573,659,0,11436,8543,3357,29%,109%,87%,0.2896040842885029,1.0922733725410667,0.8715966386554622,0.747026932493879,0.2935466946484785,0.3929532950953997,651,8,1.2%
class,EventUtils,348,428,0,4777,3707,2129,25%,77%,54%,0.2522395096652522,0.7668693889371561,0.5407813570939,0.7760100481473728,0.4456772032656479,0.574318856217966,421,7,1.6%
class,CalendarReflection,210,267,0,2722,1916,1118,35%,84%,53%,0.3475636050021561,0.8354166666666667,0.5260382333553065,0.7038941954445261,0.41072740631888316,0.5835073068893528,254,13,5.0%
class,FastDateFormat,1116,1202,0,23073,17562,5787,27%,120%,101%,0.27124400147655964,1.197920997920998,1.0086085057175895,0.7611493953972175,0.25081263814848526,0.32951827810044415,1201,1,0.08%
class,StopWatch,702,851,0,14278,10392,3846,32%,115%,92%,0.3150385083096879,1.1511807548002648,0.9195111672987779,0.7278330298361115,0.2693654573469674,0.37009237875288686,819,32,3.8%
interface,DatePrinter,156,132,0,5205,4156,595,22%,159%,150%,0.22412135455613716,1.589655172413793,1.499052830982951,0.7984630163304515,0.1143131604226705,0.1431665062560154,132,0,0%
class,FastDateParser,3139,3708,0,34392,22896,15873,40%,74%,36%,0.401340594888982,0.7368546702476872,0.36229977559390236,0.6657362177250523,0.4615317515701326,0.6932651991614256,3592,116,3.2%
class,FormatCache,612,718,0,10085,6735,3064,40%,107%,75%,0.3983353151010702,1.0679139098030268,0.7492601285845495,0.6678235002478929,0.3038175508180466,0.45493689680772087,682,36,5.1%
class,DateFormatUtils,711,731,0,14517,11806,4022,21%,113%,98%,0.20597956160012157,1.1322077781973137,0.9835734142026787,0.8132534270166012,0.2770544878418406,0.3406742334406234,727,4,0.5%
class,DurationFormatUtils,2051,2603,0,26104,16803,9723,43%,91%,53%,0.4335423124431911,0.9144499958132135,0.5338158787604614,0.6436944529574011,0.37247165185412195,0.5786466702374576,2527,76,3.0%
class,FastDatePrinter,4209,4887,0,48692,29698,19659,48%,85%,41%,0.48460262788621,0.8495267077292212,0.40679133658852845,0.6099153865111312,0.403741887784441,0.6619637686039463,4664,223,4.7%
class,DateUtils,3531,4262,0,80217,58810,17167,31%,129%,110%,0.30795456997561627,1.29487390125688,1.096200165839662,0.7331363676028771,0.2140070059962352,0.2919061384118347,4132,130,3.1%
interface,DateParser,83,71,0,3947,3210,354,21%,167%,160%,0.2059522146150622,1.6707742385491746,1.6026936026936027,0.8132759057512035,0.0896883709146187,0.1102803738317757,71,0,0%
